File Path| Bundle Name| Line Number| Line Content| CSS Variable Name
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 3527| border: 1px solid #dddddd;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 3568| border: 1px solid #dddddd;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 3573| border-bottom: 1px solid #dddddd;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 3579| border-bottom-color: #ffffff;| --litmos-none-background,--litmos-navbar-text-color,--white-background
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 3598| color: #ffffff;| --litmos-none-background,--litmos-navbar-text-color,--white-background
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 3599| background-color: #428bca;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 3605| border-top-color: #ffffff;| --litmos-none-background,--litmos-navbar-text-color,--white-background
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 3606| border-bottom-color: #ffffff;| --litmos-none-background,--litmos-navbar-text-color,--white-background
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 3658| border: 1px solid #dddddd;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 3663| border-bottom: 1px solid #dddddd;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 3669| border-bottom-color: #ffffff;| --litmos-none-background,--litmos-navbar-text-color,--white-background
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 3682| border-top-color: #428bca;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 3683| border-bottom-color: #428bca;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 3687| border-top-color: #2a6496;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 3688| border-bottom-color: #2a6496;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 4060| background-color: #f8f8f8;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 4061| border-color: #e7e7e7;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 4065| color: #777777;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 4070| color: #5e5e5e;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 4075| color: #777777;| 
